cell_current,count,lux,old_voltage,prediction,sensor,time,voltage,wifi_count
566.4974365234375,2,985.8333129882812,0.0,-1,Z2,2022-01-14T12:56:19Z,4.161689758300781,0
559.390869140625,3,1008.3333129882812,4.161689758300781,-1,Z2,2022-01-14T13:01:19Z,4.187914848327637,0
557.3604125976562,4,998.3333129882812,4.187914848327637,-1,Z2,2022-01-14T13:06:20Z,4.208087921142578,0
556.3451538085938,5,995.8333129882812,4.095118999481201,-1,Z2,2022-01-14T13:11:23Z,4.167741775512695,1
561.4213256835938,6,1002.4999389648438,4.167741775512695,-1,Z2,2022-01-14T13:16:23Z,4.187914848327637,1
555.3299560546875,7,992.4999389648438,4.181862831115723,-1,Z2,2022-01-14T13:21:24Z,4.208087921142578,1
554.3147583007812,8,1001.6666259765625,4.1031880378723145,-1,Z2,2022-01-14T13:26:27Z,4.175810813903809,2
557.3604125976562,9,1002.4999389648438,4.175810813903809,-1,Z2,2022-01-14T13:31:27Z,4.19598388671875,2
558.3756713867188,10,991.6666259765625,4.19598388671875,-1,Z2,2022-01-14T13:36:27Z,4.2222089767456055,2
551.26904296875,11,997.4999389648438,4.1092400550842285,-1,Z2,2022-01-14T13:41:30Z,4.181862831115723,3
558.3756713867188,12,993.3333129882812,4.181862831115723,-1,Z2,2022-01-14T13:46:31Z,4.208087921142578,3
552.2842407226562,13,990.8333129882812,4.095118999481201,-1,Z2,2022-01-14T13:51:34Z,4.175810813903809,4
558.3756713867188,14,1001.6666259765625,4.175810813903809,-1,Z2,2022-01-14T13:56:34Z,4.202035903930664,4
553.2994995117188,15,994.1666259765625,4.089066982269287,-1,Z2,2022-01-14T14:01:37Z,4.167741775512695,5
550.2537841796875,16,1000.8333129882812,4.161689758300781,-1,Z2,2022-01-14T14:06:37Z,4.19598388671875,5
558.3756713867188,17,992.4999389648438,4.19598388671875,-1,Z2,2022-01-14T14:11:38Z,4.214139938354492,5
558.3756713867188,18,990.8333129882812,4.1031880378723145,-1,Z2,2022-01-14T14:16:41Z,4.181862831115723,6
552.2842407226562,19,993.3333129882812,4.181862831115723,-1,Z2,2022-01-14T14:21:41Z,4.208087921142578,6
551.26904296875,20,1001.6666259765625,4.095118999481201,-1,Z2,2022-01-14T14:26:44Z,4.175810813903809,7
552.2842407226562,21,999.9999389648438,4.175810813903809,-1,Z2,2022-01-14T14:31:45Z,4.19598388671875,7
551.26904296875,22,990.8333129882812,4.19598388671875,-1,Z2,2022-01-14T14:36:45Z,4.2222089767456055,7
558.3756713867188,23,997.4999389648438,4.1031880378723145,-1,Z2,2022-01-14T14:41:48Z,4.187914848327637,8
