cell_current,count,lux,old_voltage,sensor,time,voltage,wifi_count
260.9136962890625,1,1035.0,0.0,Z2,2020-02-03T18:07:55Z,4.752758979797363,1
285.2791748046875,2,946.6666259765625,0.0,Z2,2020-02-03T18:07:56Z,4.817312240600586,1
285.2791748046875,3,985.8333129882812,4.817312240600586,Z2,2020-02-03T18:12:56Z,4.785035610198975,1
282.2335205078125,4,979.9999389648438,4.785035610198975,Z2,2020-02-03T18:17:56Z,4.7729315757751465,1
281.21826171875,5,979.9999389648438,4.7729315757751465,Z2,2020-02-03T18:22:57Z,4.758810520172119,1
281.21826171875,6,978.3333129882812,4.758810520172119,Z2,2020-02-03T18:27:57Z,4.752758979797363,1
281.21826171875,7,979.1666259765625,4.752758979797363,Z2,2020-02-03T18:32:58Z,4.752758979797363,1
281.21826171875,8,981.6666259765625,4.752758979797363,Z2,2020-02-03T18:37:58Z,4.738637924194336,1
76.14213562011719,9,0.0,4.738637924194336,Z2,2020-02-03T18:42:59Z,4.732585906982422,1
76.14213562011719,10,0.0,4.726533889770508,Z2,2020-02-03T18:47:59Z,4.6942572593688965,1
76.14213562011719,11,0.0,4.6942572593688965,Z2,2020-02-03T18:52:59Z,4.661980152130127,1
76.14213562011719,12,0.0,4.661980152130127,Z2,2020-02-03T18:58:00Z,4.629703521728516,1
76.14213562011719,13,0.0,4.629703521728516,Z2,2020-02-03T19:03:00Z,4.597426891326904,1
76.14213562011719,14,0.0,4.597426891326904,Z2,2020-02-03T19:08:01Z,4.571201801300049,1
76.14213562011719,15,0.0,4.571201801300049,Z2,2020-02-03T19:13:01Z,4.5389251708984375,1
76.14213562011719,16,0.0,4.5389251708984375,Z2,2020-02-03T19:18:02Z,4.504631042480469,1
76.14213562011719,17,0.0,4.504631042480469,Z2,2020-02-03T19:23:02Z,4.466302394866943,1
76.14213562011719,18,0.0,4.472353935241699,Z2,2020-02-03T19:28:02Z,4.440077304840088,1
76.14213562011719,19,0.0,4.434025287628174,Z2,2020-02-03T19:33:03Z,4.407800674438477,1
76.14213562011719,20,0.0,4.407800674438477,Z2,2020-02-03T19:38:03Z,4.375523567199707,1
76.14213562011719,21,0.0,4.375523567199707,Z2,2020-02-03T19:43:04Z,4.343246936798096,1
76.14213562011719,22,0.0,4.343246936798096,Z2,2020-02-03T19:48:04Z,4.310970306396484,1
76.14213562011719,23,0.0,4.31702184677124,Z2,2020-02-03T19:53:05Z,4.284745216369629,1
76.14213562011719,24,0.0,4.284745216369629,Z2,2020-02-03T19:58:05Z,4.258520126342773,1
76.14213562011719,25,0.0,4.258520126342773,Z2,2020-02-03T20:03:05Z,4.226243495941162,1
167.51268005371094,26,602.5,4.226243495941162,Z2,2020-02-03T20:08:06Z,4.200018405914307,1
274.1116943359375,27,945.8333129882812,4.200018405914307,Z2,2020-02-03T20:13:06Z,4.200018405914307,1
282.2335205078125,28,971.6666259765625,4.200018405914307,Z2,2020-02-03T20:18:07Z,4.206070423126221,1
284.26397705078125,29,979.9999389648438,4.206070423126221,Z2,2020-02-03T20:23:07Z,4.206070423126221,1
285.2791748046875,30,985.8333129882812,4.206070423126221,Z2,2020-02-03T20:28:08Z,4.206070423126221,1
284.26397705078125,31,982.4999389648438,4.212122440338135,Z2,2020-02-03T20:33:08Z,4.212122440338135,1
285.2791748046875,32,984.9999389648438,4.212122440338135,Z2,2020-02-03T20:38:08Z,4.212122440338135,1
284.26397705078125,33,984.9999389648438,4.212122440338135,Z2,2020-02-03T20:43:09Z,4.212122440338135,1
283.24871826171875,34,983.3333129882812,4.212122440338135,Z2,2020-02-03T20:48:09Z,4.212122440338135,1
284.26397705078125,35,984.9999389648438,4.212122440338135,Z2,2020-02-03T20:53:10Z,4.212122440338135,1
282.2335205078125,36,981.6666259765625,4.212122440338135,Z2,2020-02-03T20:58:10Z,4.220191478729248,1
282.2335205078125,37,980.8333129882812,4.220191478729248,Z2,2020-02-03T21:03:11Z,4.220191478729248,1
282.2335205078125,38,982.4999389648438,4.187914848327637,Z2,2020-02-03T21:07:08Z,4.193966865539551,2
281.21826171875,39,977.4999389648438,4.193966865539551,Z2,2020-02-03T21:12:08Z,4.193966865539551,2
280.2030334472656,40,975.8333129882812,4.193966865539551,Z2,2020-02-03T21:17:09Z,4.193966865539551,2
281.21826171875,41,979.9999389648438,4.193966865539551,Z2,2020-02-03T21:22:09Z,4.200018405914307,2
281.21826171875,42,980.8333129882812,4.200018405914307,Z2,2020-02-03T21:27:10Z,4.200018405914307,2
281.21826171875,43,980.8333129882812,4.193966865539551,Z2,2020-02-03T21:32:10Z,4.200018405914307,2
281.21826171875,44,979.1666259765625,4.200018405914307,Z2,2020-02-03T21:37:11Z,4.200018405914307,2
282.2335205078125,45,981.6666259765625,4.200018405914307,Z2,2020-02-03T21:42:11Z,4.206070423126221,2
281.21826171875,46,979.9999389648438,4.206070423126221,Z2,2020-02-03T21:47:11Z,4.206070423126221,2
281.21826171875,47,978.3333129882812,4.200018405914307,Z2,2020-02-03T21:52:12Z,4.206070423126221,2
281.21826171875,48,980.8333129882812,4.206070423126221,Z2,2020-02-03T21:57:12Z,4.200018405914307,2
281.21826171875,49,980.8333129882812,4.206070423126221,Z2,2020-02-03T22:02:13Z,4.206070423126221,2
282.2335205078125,50,983.3333129882812,4.206070423126221,Z2,2020-02-03T22:07:13Z,4.206070423126221,2
282.2335205078125,51,982.4999389648438,4.206070423126221,Z2,2020-02-03T22:12:14Z,4.212122440338135,2
