cell_current,count,lux,old_voltage,sensor,time,voltage,wifi_count
338.0710754394531,1,1014.9999389648438,0.0,Z2,2020-01-22T17:13:28Z,4.60347843170166,1
363.4517822265625,2,934.9999389648438,0.0,Z2,2020-01-22T17:13:29Z,4.700308799743652,1
361.42132568359375,3,967.4999389648438,4.700308799743652,Z2,2020-01-22T17:18:29Z,4.738637924194336,1
361.42132568359375,4,966.6666259765625,4.738637924194336,Z2,2020-01-22T17:23:30Z,4.746706962585449,1
361.42132568359375,5,969.1666259765625,4.752758979797363,Z2,2020-01-22T17:28:30Z,4.758810520172119,1
360.4060974121094,6,968.3333129882812,4.758810520172119,Z2,2020-01-22T17:33:30Z,4.764862537384033,1
361.42132568359375,7,968.3333129882812,4.758810520172119,Z2,2020-01-22T17:38:31Z,4.7729315757751465,1
361.42132568359375,8,969.9999389648438,4.7729315757751465,Z2,2020-01-22T17:43:31Z,4.7789835929870605,1
361.42132568359375,9,969.9999389648438,4.7789835929870605,Z2,2020-01-22T17:48:32Z,4.785035610198975,1
361.42132568359375,10,969.1666259765625,4.785035610198975,Z2,2020-01-22T17:53:32Z,4.791087627410889,1
361.42132568359375,11,970.8333129882812,4.791087627410889,Z2,2020-01-22T17:58:33Z,4.7971391677856445,1
361.42132568359375,12,969.9999389648438,4.7971391677856445,Z2,2020-01-22T18:03:33Z,4.805208683013916,1
361.42132568359375,13,972.4999389648438,4.805208683013916,Z2,2020-01-22T18:08:33Z,4.81126070022583,1
361.42132568359375,14,974.1666259765625,4.817312240600586,Z2,2020-01-22T18:13:34Z,4.8233642578125,1
362.4365539550781,15,974.9999389648438,4.8233642578125,Z2,2020-01-22T18:18:34Z,4.831433296203613,1
361.42132568359375,16,971.6666259765625,4.831433296203613,Z2,2020-01-22T18:23:35Z,4.837485313415527,1
360.4060974121094,17,965.8333129882812,4.837485313415527,Z2,2020-01-22T18:28:35Z,4.843537330627441,1
360.4060974121094,18,965.8333129882812,4.843537330627441,Z2,2020-01-22T18:33:36Z,4.8495893478393555,1
361.42132568359375,19,968.3333129882812,4.8495893478393555,Z2,2020-01-22T18:38:36Z,4.855640888214111,1
360.4060974121094,20,964.9999389648438,4.863710403442383,Z2,2020-01-22T18:43:36Z,4.863710403442383,1
361.42132568359375,21,966.6666259765625,4.863710403442383,Z2,2020-01-22T18:48:37Z,4.875813961029053,1
359.390869140625,22,963.3333129882812,4.875813961029053,Z2,2020-01-22T18:53:37Z,4.88993501663208,1
358.3756408691406,23,960.8333129882812,4.881865978240967,Z2,2020-01-22T18:58:38Z,4.881865978240967,1
360.4060974121094,24,964.9999389648438,4.88993501663208,Z2,2020-01-22T19:03:38Z,4.88993501663208,1
360.4060974121094,25,965.8333129882812,4.895987033843994,Z2,2020-01-22T19:08:39Z,4.902039051055908,1
360.4060974121094,26,966.6666259765625,4.902039051055908,Z2,2020-01-22T19:13:39Z,4.908091068267822,1
360.4060974121094,27,966.6666259765625,4.908091068267822,Z2,2020-01-22T19:18:39Z,4.914142608642578,1
359.390869140625,28,964.9999389648438,4.914142608642578,Z2,2020-01-22T19:23:40Z,4.92221212387085,1
359.390869140625,29,964.1666259765625,4.92221212387085,Z2,2020-01-22T19:28:40Z,4.9343156814575195,1
360.4060974121094,30,964.1666259765625,4.9282636642456055,Z2,2020-01-22T19:33:41Z,4.9343156814575195,1
360.4060974121094,31,964.9999389648438,4.940367698669434,Z2,2020-01-22T19:38:41Z,4.940367698669434,1
360.4060974121094,32,964.1666259765625,4.940367698669434,Z2,2020-01-22T19:43:42Z,4.948436737060547,1
360.4060974121094,33,964.1666259765625,4.948436737060547,Z2,2020-01-22T19:48:42Z,4.960540771484375,1
361.42132568359375,34,966.6666259765625,4.960540771484375,Z2,2020-01-22T19:53:42Z,4.960540771484375,1
361.42132568359375,35,967.4999389648438,4.960540771484375,Z2,2020-01-22T19:58:43Z,4.966592788696289,1
361.42132568359375,36,968.3333129882812,4.972644329071045,Z2,2020-01-22T20:03:43Z,4.978696346282959,1
361.42132568359375,37,969.9999389648438,4.978696346282959,Z2,2020-01-22T20:08:44Z,4.982730865478516,1
362.4365539550781,38,973.3333129882812,4.9343156814575195,Z2,2020-01-22T20:12:40Z,4.954488754272461,2
362.4365539550781,39,972.4999389648438,4.954488754272461,Z2,2020-01-22T20:17:41Z,4.960540771484375,2
361.42132568359375,40,970.8333129882812,4.960540771484375,Z2,2020-01-22T20:22:41Z,4.966592788696289,2
361.42132568359375,41,971.6666259765625,4.966592788696289,Z2,2020-01-22T20:27:42Z,4.978696346282959,2
362.4365539550781,42,974.9999389648438,4.978696346282959,Z2,2020-01-22T20:32:42Z,4.982730865478516,2
362.4365539550781,43,974.9999389648438,4.982730865478516,Z2,2020-01-22T20:37:42Z,4.982730865478516,2
361.42132568359375,44,971.6666259765625,4.982730865478516,Z2,2020-01-22T20:42:43Z,4.98878288269043,2
361.42132568359375,45,969.1666259765625,4.98878288269043,Z2,2020-01-22T20:47:43Z,4.992817401885986,2
361.42132568359375,46,970.8333129882812,4.992817401885986,Z2,2020-01-22T20:52:44Z,5.0049214363098145,2
361.42132568359375,47,969.9999389648438,5.0049214363098145,Z2,2020-01-22T20:57:44Z,5.008955955505371,2
361.42132568359375,48,969.9999389648438,5.008955955505371,Z2,2020-01-22T21:02:45Z,5.012990474700928,2
361.42132568359375,49,969.1666259765625,5.012990474700928,Z2,2020-01-22T21:07:45Z,5.019042491912842,2
361.42132568359375,50,971.6666259765625,5.023077011108398,Z2,2020-01-22T21:12:45Z,5.0291290283203125,2
