cell_current,count,lux,old_voltage,prediction,sensor,time,voltage,wifi_count
736.0405883789062,1,9720.0,0.0,-1,Z2,2021-06-24T10:34:33Z,4.121344089508057,1
781.7258911132812,2,9716.666015625,0.0,-1,Z2,2021-06-24T10:34:34Z,4.375523567199707,1
766.4974365234375,3,6924.99951171875,4.375523567199707,-1,Z2,2021-06-24T10:39:34Z,4.960540771484375,1
768.5279541015625,4,7257.49951171875,4.960540771484375,-1,Z2,2021-06-24T10:44:35Z,5.251031875610352,1
794.923828125,5,13892.4990234375,5.251031875610352,-1,Z2,2021-06-24T10:49:35Z,5.539505958557129,1
807.1066284179688,6,19111.666015625,5.539505958557129,1,Z2,2021-06-24T10:54:35Z,5.842100620269775,1
823.3502807617188,7,28657.498046875,5.838066101074219,-1,Z2,2021-06-24T10:59:36Z,6.0700554847717285,1
820.3045654296875,8,28103.33203125,6.066020965576172,-1,Z2,2021-06-24T11:04:36Z,6.247578144073486,1
801.0152587890625,9,18650.83203125,6.241526126861572,-1,Z2,2021-06-24T11:09:37Z,6.3202009201049805,1
792.8934326171875,10,14845.8330078125,6.3202009201049805,-1,Z2,2021-06-24T11:14:37Z,6.3202009201049805,1
792.8934326171875,11,15309.166015625,6.3202009201049805,-1,Z2,2021-06-24T11:19:38Z,6.3202009201049805,1
789.8477172851562,12,14280.8330078125,6.3202009201049805,2,Z2,2021-06-24T11:24:38Z,6.3202009201049805,1
801.0152587890625,13,18940.83203125,6.3202009201049805,-1,Z2,2021-06-24T11:29:38Z,6.3202009201049805,1
820.3045654296875,14,34121.6640625,6.3202009201049805,-1,Z2,2021-06-24T11:34:39Z,6.3202009201049805,1
835.5330200195312,15,54309.1640625,6.3202009201049805,-1,Z2,2021-06-24T11:39:39Z,6.3202009201049805,1
832.4873046875,16,27499.998046875,6.3202009201049805,-1,Z2,2021-06-24T11:44:40Z,6.3202009201049805,1
803.0457153320312,17,21360.83203125,6.3202009201049805,-1,Z2,2021-06-24T11:49:40Z,6.3202009201049805,1
804.0609130859375,18,20756.666015625,6.3202009201049805,1,Z2,2021-06-24T11:54:41Z,6.3202009201049805,1
803.0457153320312,19,19696.666015625,6.3202009201049805,-1,Z2,2021-06-24T11:59:41Z,6.3202009201049805,1
806.0913696289062,20,20007.5,6.3202009201049805,-1,Z2,2021-06-24T12:04:42Z,6.3202009201049805,1
798.9847412109375,21,18896.666015625,6.3202009201049805,-1,Z2,2021-06-24T12:09:42Z,6.3202009201049805,1
801.0152587890625,22,18681.666015625,6.3202009201049805,-1,Z2,2021-06-24T12:14:42Z,6.3202009201049805,1
816.24365234375,23,18778.33203125,6.3202009201049805,-1,Z2,2021-06-24T12:19:43Z,6.3202009201049805,1
768.5279541015625,24,14434.166015625,6.3202009201049805,1,Z2,2021-06-24T12:24:43Z,6.3202009201049805,1
760.4060668945312,25,11338.3330078125,6.3202009201049805,-1,Z2,2021-06-24T12:29:44Z,6.3202009201049805,1
755.3299560546875,26,10775.8330078125,6.3202009201049805,-1,Z2,2021-06-24T12:34:44Z,6.3202009201049805,1
758.3756713867188,27,10757.5,6.3202009201049805,-1,Z2,2021-06-24T12:39:45Z,6.3202009201049805,1
760.4060668945312,28,11723.3330078125,6.3202009201049805,-1,Z2,2021-06-24T12:44:45Z,6.3202009201049805,1
760.4060668945312,29,12154.166015625,6.3202009201049805,-1,Z2,2021-06-24T12:49:45Z,6.3202009201049805,1
757.3604125976562,30,11885.8330078125,6.3202009201049805,1,Z2,2021-06-24T12:54:46Z,6.3202009201049805,1
759.390869140625,31,12417.4990234375,6.3202009201049805,-1,Z2,2021-06-24T12:59:46Z,6.3202009201049805,1
757.3604125976562,32,12662.4990234375,6.3202009201049805,-1,Z2,2021-06-24T13:04:47Z,6.3202009201049805,1
756.3451538085938,33,11649.166015625,6.3202009201049805,-1,Z2,2021-06-24T13:09:47Z,6.3202009201049805,1
751.26904296875,34,11204.166015625,6.3202009201049805,-1,Z2,2021-06-24T13:13:54Z,6.3202009201049805,2
746.19287109375,35,9939.166015625,6.3202009201049805,-1,Z2,2021-06-24T13:18:54Z,6.3202009201049805,2
767.5126953125,36,15534.9990234375,6.3202009201049805,1,Z2,2021-06-24T13:23:55Z,6.3202009201049805,2
751.26904296875,37,12386.666015625,6.3202009201049805,-1,Z2,2021-06-24T13:28:55Z,6.3202009201049805,2
742.1320190429688,38,10835.8330078125,6.3202009201049805,-1,Z2,2021-06-24T13:33:55Z,6.3202009201049805,2
737.0558471679688,39,9879.166015625,6.3202009201049805,-1,Z2,2021-06-24T13:38:56Z,6.3202009201049805,2
736.0405883789062,40,9777.5,6.3202009201049805,-1,Z2,2021-06-24T13:43:56Z,6.3202009201049805,2
729.94921875,41,9870.8330078125,6.3202009201049805,-1,Z2,2021-06-24T13:48:57Z,6.3202009201049805,2
719.7969360351562,42,8921.666015625,6.3202009201049805,1,Z2,2021-06-24T13:53:57Z,6.3202009201049805,2
706.5989990234375,43,6968.3330078125,6.3202009201049805,-1,Z2,2021-06-24T13:58:58Z,6.3202009201049805,2
695.4314575195312,44,5406.66650390625,6.3202009201049805,-1,Z2,2021-06-24T14:03:58Z,6.3202009201049805,2
684.263916015625,45,4679.16650390625,6.3202009201049805,-1,Z2,2021-06-24T14:08:58Z,6.3202009201049805,2
669.0355834960938,46,3948.333251953125,6.3202009201049805,-1,Z2,2021-06-24T14:13:59Z,6.3202009201049805,2
657.8680419921875,47,3544.16650390625,6.3202009201049805,-1,Z2,2021-06-24T14:18:59Z,6.3202009201049805,2
